Concatenate,Category,Job Group,Grade,수준 정의,세부지표 키워드,세부지표 설명
Software EngineeringS&K4세부지표1,세부지표1,Software Engineering,S&K4,Providing Solutions,1. 솔루션 제시,"전사 서비스 간 복잡한 유기적 관계를 깊이 이해하고, 이를 바탕으로 고질적인 문제를 분석하여 해결책을 제시하며 궁극적으로 개선한다."
Software EngineeringS&K4세부지표2,세부지표2,Software Engineering,S&K4,Providing Solutions,2. 다수 프로젝트 리딩,"담당 프로덕트와 시스템 간 관계 이해를 바탕으로 대규모 프로젝트 시, 각 시스템을 고려해 우수하게 설계한다."
Software EngineeringS&K4세부지표3,세부지표3,Software Engineering,S&K4,Providing Solutions,3. 혁신적 솔루션 적용,"복합적인 시스템 및 아키텍처 문제에 대한 해결책을 제시하고, 새로운 기술과 트렌드를 적극적으로 수용하여 조직 내에 전파함으로써 성과를 향상시킨다."
Software EngineeringS&K4세부지표4,세부지표4,Software Engineering,S&K4,Providing Solutions,4. Long term 프로젝트 관리,Long Term Project 전반에 걸친 계획을 수립하고 선도적으로 최적의 솔루션을 제안/협의한다.
Software EngineeringS&K4세부지표5,세부지표5,Software Engineering,S&K4,Providing Solutions,5. 지속적 개선,"기술 스택에 대한 깊은 이해와 다양한 기술 조합을 통해 요구사항에 맞는 솔루션을 제시하고 리딩하며, 지속적인 기술 개선을 통해 품질을 향상시킨다."
Software EngineeringS&K3세부지표1,세부지표1,Software Engineering,S&K3,Build 360 Workflow,1. 프로세스 고도화,"타 조직의 다양한 관점을 폭넓게 통합하여 기존 프로세스를 지속적으로 개선하고, 업무 수행의 품질을 향상한다."
Software EngineeringS&K3세부지표2,세부지표2,Software Engineering,S&K3,Build 360 Workflow,2. 프로젝트 리딩,프로젝트 흐름을 전반적으로 이해하고 핵심 마일스톤 달성을 목표로 성능과 보안을 최적화한다.
Software EngineeringS&K3세부지표3,세부지표3,Software Engineering,S&K3,Build 360 Workflow,3. 복합적 문제해결,Data 기반의 지식 분석과 복합적인 문제 정의를 통해 발생한 문제를 신속하게 해결한다.
Software EngineeringS&K3세부지표4,세부지표4,Software Engineering,S&K3,Build 360 Workflow,4. 프로젝트 관리,프로젝트 전반 성능 최적화 및 보안 설계를 수행한다.
Software EngineeringS&K3세부지표5,세부지표5,Software Engineering,S&K3,Build 360 Workflow,5. 전략적 요구 대응,"프로덕트 간 시스템 관계를 이해하고 문서화하며, 팀/유관부서와 협력하여 기술적 요구사항을 명확히 한다."
Software EngineeringS&K2세부지표1,세부지표1,Software Engineering,S&K2,Practical Experience,1. 프로세스 이해,"소프트웨어 기능과 동작 방식을 명확히 이해하고 설명할 수 있으며, 실무 중심의 프로세스를 숙지하고 정확하게 개발 작업을 수행한다."
Software EngineeringS&K2세부지표2,세부지표2,Software Engineering,S&K2,Practical Experience,2. 업무 독립성,"체계적인 업무 수행 역량을 바탕으로, 프로젝트를 이해하고, 능동적으로 주어진 과제를 완수하여 조직의 기대에 부합하는 결과를 효과적으로 도출한다."
Software EngineeringS&K2세부지표3,세부지표3,Software Engineering,S&K2,Practical Experience,3. 문제 해결,라이브 서비스의 오류 발생 시 영향도와 원인을 파악하여 주도적으로 문제를 해결한다.
Software EngineeringS&K2세부지표4,세부지표4,Software Engineering,S&K2,Practical Experience,4. 데이터 관리,"애플리케이션 운영 과정에서 발생하는 시스템 데이터를 정확히 관리하고 활용하여, 개발 작업의 일관성과 안정성을 유지한다."
Software EngineeringS&K2세부지표5,세부지표5,Software Engineering,S&K2,Practical Experience,5. 분석적 사고,"할당된 작업을 정확하게 이해하여, 논리적으로 작업 방안을 설계하고 실행 계획을 스스로 수립한다."
Software EngineeringS&K1세부지표1,세부지표1,Software Engineering,S&K1,Basic Job Knowledge,1. 기본 지식 이해,조직(파트/팀) 내 가이드 문서를 토대로 도메인 지식 및 개발 프로세스를 빠르게 습득하여 업무에 적용한다.
Software EngineeringS&K1세부지표2,세부지표2,Software Engineering,S&K1,Basic Job Knowledge,2. 업무 수행,작업에 대한 전반적인 프로세스를 이해하고 기본적인 업무를 수행한다.
Software EngineeringS&K1세부지표3,세부지표3,Software Engineering,S&K1,Basic Job Knowledge,3. 문제 보고,"코드 작성 및 시스템 구성 중 발생하는 문제를 적시에 보고하고, 이를 해결하기 위한 방안을 상사에게 제안 후 조언을 구한다."
Software EngineeringS&K1세부지표4,세부지표4,Software Engineering,S&K1,Basic Job Knowledge,4. 시스템 활용,본인 담당 업무와 관련된 기존 소스 코드 및 시스템 구성을 파악하고 검색(AI 등)을 활용하여 업무를 수행한다.
Software EngineeringS&K1세부지표5,세부지표5,Software Engineering,S&K1,Basic Job Knowledge,5. 피드백 반영,구성원들로부터의 건설적인 피드백을 수용하여 업무의 방식과 질을 지속적으로 개선한다
AdministrationS&K6세부지표1,세부지표1,Administration,S&K6,Global Innovator,1. 혁신적 비전 제시,"그룹 내 최고 경영관리 전문가로서 그룹 차원의 조직 효율성을 극대화할 수 있는 중장기 솔루션을 제시하며, 지속적인 성장과 혁신을 도모하는 비전을 제시한다."
AdministrationS&K6세부지표2,세부지표2,Administration,S&K6,Global Innovator,2. 글로벌 프로젝트 리딩,"전사 전략에 대해 시스템적 조언을 경영진에게 제공하고, 글로벌 관점에서 비즈니스 목표와 연계된 혁신적 전략을 추진하며, 글로벌 혁신 프로젝트를 리딩한다."
AdministrationS&K6세부지표3,세부지표3,Administration,S&K6,Global Innovator,3. Global Industry Leader,"조직 내 최신 기술 동향과 기술적 노하우를 파악하여 전체에 전파하고, 기술적 비전과 프로덕트 방향을 제시하여 업계를 선도하고 글로벌 성과를 극대화한다."
AdministrationS&K6세부지표4,세부지표4,Administration,S&K6,Global Innovator,4. 글로벌 리더십,"글로벌 차원의 트렌드를 제시하고 선도하여 새로운 업계 표준을 설정하고, 글로벌 시장에서 기술과 비즈니스를 리드한다."
AdministrationS&K6세부지표5,세부지표5,Administration,S&K6,Global Innovator,5. 글로벌 파트너 협력,"다양한 글로벌 조직, 커뮤니티와 협력하여 기술 혁신을 주도하고, 그룹의 전략적 목표 달성을 지원한다."
AdministrationS&K5세부지표1,세부지표1,Administration,S&K5,Innovation,1. 혁신적 설계,전문적 지식과 최신 트렌드를 기반으로 경영관리 효율성과 조직 역량를 높일 수 있는 혁신적인 전사 차원의 제도를 설계/실행하여 조직 내 성과를 향상시킨다.
AdministrationS&K5세부지표2,세부지표2,Administration,S&K5,Innovation,2. 시장 변화 대응,"다양한 프로젝트를 리드하며 최적의 솔루션을 제안하고, 시장 변화에 대응하는 완성도 높은 결과물을 도출한다."
AdministrationS&K5세부지표3,세부지표3,Administration,S&K5,Innovation,3. 기술 및 비즈니스 융합,"전사의 Business Partner로서 비즈니스의 핵심 영역을 개선하기 위한 과제를 기획/실행하여, 기술과 비즈니스를 융합한 솔루션을 통해 주요 OKR을 달성한다."
AdministrationS&K5세부지표4,세부지표4,Administration,S&K5,Innovation,4. 성과 지속성,Long Term Project 전반에 걸친 계획을 수립하고 지속 가능한 성과를 위한 최적의 솔루션을 선도적으로 제안/협의한다.
AdministrationS&K5세부지표5,세부지표5,Administration,S&K5,Innovation,5. 미래 기술 적용,"전사적 차원의 문제점과 Threat을 선제적으로 파악하고, 미래를 대비한 기술 솔루션을 효율적으로 도출한다."
AdministrationS&K4세부지표1,세부지표1,Administration,S&K4,Providing Solutions,1. 솔루션 제시,"전사적 차원의 문제점과 Threat을 선제적으로 파악하여, 조직의 핵심 이슈와 기술적 문제를 분석하고, 이에 대한 최적의 해결책을 효율적으로 도출한다."
AdministrationS&K4세부지표2,세부지표2,Administration,S&K4,Providing Solutions,2. 다수 프로젝트 리딩,"조직 내 공동 목표 달성을 위해 여러 프로젝트의 Milestone을 효율적으로 관리하며, 전사적인 프로젝트를 리딩/ 완수하여 조직 성과를 극대화한다."
AdministrationS&K4세부지표3,세부지표3,Administration,S&K4,Providing Solutions,3. 혁신적 솔루션 적용,최신 트렌드와 전문적 지식을 활용하여 효율적인 경영 관리 및 조직의 경쟁력을 향상시키기 위한 혁신적인 제도를 기획 및 실행한다.
AdministrationS&K4세부지표4,세부지표4,Administration,S&K4,Providing Solutions,4. Long term 프로젝트 관리,Long Term Project 전반에 걸친 계획을 수립하고 최적의 솔루션을 제안하고 프로젝트가 원활히 진행될 수 있도록 주도적으로 협의한다.
AdministrationS&K4세부지표5,세부지표5,Administration,S&K4,Providing Solutions,5. 지속적 개선,전사적 차원의 문제점 및 Threat을 선제적으로 파악하여 지속적으로 개선한다.
AdministrationS&K3세부지표1,세부지표1,Administration,S&K3,Build 360 Workflow,1. 프로세스 고도화,"타 조직의 관점을 다양한 폭넓게 통합하여 기존 프로세스를 지속적으로 개선하고, 업무 수행의 품질을 향상시킨다."
AdministrationS&K3세부지표2,세부지표2,Administration,S&K3,Build 360 Workflow,2. 프로젝트 리딩,폭넓은 업무 이해도를 바탕으로 다양한 전략과 방법론을 적용하여 직접적이고 효용성 있는 솔루션을 제시 및 수행한다.
AdministrationS&K3세부지표3,세부지표3,Administration,S&K3,Build 360 Workflow,3. 복합적 문제해결,"프로젝트에 대한 폭넓은 이해를 바탕으로 전략과 방법론을 적용하여 발생한 문제를 신속히 해결하고, 작업물의 품질을 향상시킨다."
AdministrationS&K3세부지표4,세부지표4,Administration,S&K3,Build 360 Workflow,4. 프로젝트 관리,구성원들의 관점에서 현황을 분석하고 주요 이슈를 도출하여 프로젝트를 기획 및 운영한다.
AdministrationS&K3세부지표5,세부지표5,Administration,S&K3,Build 360 Workflow,5. 전략적 요구 대응,"여러 조직(파트/팀)의 지식을 종합하여 복합적인 문제를 해결하고, 팀/유관부서와의 협력을 통해 프로젝트 목표를 성공적으로 달성한다."
AdministrationS&K2세부지표1,세부지표1,Administration,S&K2,Practical Experience,1. 프로세스 이해,소속 조직과 유관부서 간 협력 프로세스를 이해하고 협력적인 태도로 원활하게 소통한다.
AdministrationS&K2세부지표2,세부지표2,Administration,S&K2,Practical Experience,2. 업무 독립성,"체계적인 업무 수행 역량을 바탕으로, 프로젝트를 이해하고, 능동적으로 주어진 과제를 완수하여 조직의 기대에 부합하는 결과를 효과적으로 도출한다."
AdministrationS&K2세부지표3,세부지표3,Administration,S&K2,Practical Experience,3. 문제 해결,"주어진 이슈 해결을 위해 연관된 사항을 종합적으로 검토하고 해결책을 제시하며, 일상적인 문제 발생 시 스스로 해결한다."
AdministrationS&K2세부지표4,세부지표4,Administration,S&K2,Practical Experience,4. 데이터 관리,"업무 수행 과정에서 필요한 시스템 데이터를 정확히 관리하고 활용하여, 품질 유지와 리스크 감소에 기여한다."
AdministrationS&K2세부지표5,세부지표5,Administration,S&K2,Practical Experience,5. 분석적 사고,"할당된 작업을 정밀하게 수행할 뿐만 아니라, 과정을 더 깊이 이해하고 분석하여 개선한다."
AdministrationS&K1세부지표1,세부지표1,Administration,S&K1,Basic Job Knowledge,1. 기본 지식 이해,담당 업무 프로세스와 회사 제도 및 관련 법령에 대한 기본적인 이해를 바탕으로 업무를 수행한다.
AdministrationS&K1세부지표2,세부지표2,Administration,S&K1,Basic Job Knowledge,2. 업무 수행,작업에 대한 전반적인 프로세스를 이해하고 기본적인 업무를 수행한다.
AdministrationS&K1세부지표3,세부지표3,Administration,S&K1,Basic Job Knowledge,3. 문제 보고,"업무 진행 중 발생하는 문제를 적시에 보고하고, 요구사항을 바탕으로 해결책을 제시하여, 진행 상황을 명확히 보고하여 업무의 원활한 진행을 지원한다."
AdministrationS&K1세부지표4,세부지표4,Administration,S&K1,Basic Job Knowledge,4. 시스템 활용,"구성원의 니즈를 파악하고 시스템과 도구를 활용하여 구조화된 문서와 산출물을 제작하여, 다양한 이해관계자들이 쉽게 검토할 수 있도록 지원한다."
AdministrationS&K1세부지표5,세부지표5,Administration,S&K1,Basic Job Knowledge,5. 피드백 반영,"상사의 피드백을 반영하여 문서화와 산출물의 완성도를 개선하고, 이해관계자의 이해를 돕기 위해 지속적으로 업무를 최적화한다."
SoundS&K6세부지표1,세부지표1,Sound,S&K6,Global Innovator,1. 혁신적 비전 제시,글로벌 최고 사운드 전문가로서 글로벌 산업을 리드 할 수 있는 역량그룹 내 최고 사운드 전문가로서 중장기적 기술 혁신 비전을 제시한다.
SoundS&K6세부지표2,세부지표2,Sound,S&K6,Global Innovator,2. 글로벌 프로젝트 리딩,"전사 전략에 대해 시스템적 조언을 경영진에게 제공하고, 글로벌 관점에서 비즈니스 목표와 연계된 혁신적 전략을 추진하며, 글로벌 혁신 프로젝트를 리딩한다."
SoundS&K6세부지표3,세부지표3,Sound,S&K6,Global Innovator,3. Global Industry Leader,"조직 내 최신 기술 동향과 기술적 노하우를 파악하여 전체에 전파하고, 기술적 비전과 프로덕트 방향을 제시하여 업계를 선도하고 글로벌 성과를 극대화한다."
SoundS&K6세부지표4,세부지표4,Sound,S&K6,Global Innovator,4. 글로벌 리더십,"글로벌 차원의 업계 최고 수준의 역량을 발휘하여 기술과 비즈니스를 선도하며, 글로벌 시장에서 영향력을 확대한다."
SoundS&K6세부지표5,세부지표5,Sound,S&K6,Global Innovator,5. 글로벌 파트너 협력,"글로벌 파트너와 협력하여 사운드 분야의 기술 혁신을 주도하고, 조직의 글로벌 경쟁력을 강화한다."
SoundS&K5세부지표1,세부지표1,Sound,S&K5,Innovation,1. 혁신적 설계,"기술적, 시장적 요구를 반영한 프로젝트 결과물에 대한 혁신적인 솔루션을 설계하고 실행하여 시장에서 차별화된 성과를 창출한다."
SoundS&K5세부지표2,세부지표2,Sound,S&K5,Innovation,2. 시장 변화 대응,"글로벌 기술 혁신 트렌드를 적용하여 시장 변화에 맞춰 조직의 경쟁력을 강화하고, 기술 성장을 주도하여 조직의 성과를 높인다"
SoundS&K5세부지표3,세부지표3,Sound,S&K5,Innovation,3. 기술 및 비즈니스 융합,"복합적이고 다기능적인 프로젝트에서 리더십을 발휘하여, 기술과 비즈니스를 융합한 최적의 전략적 솔루션을 제시함으로써 성과를 도출한다."
SoundS&K5세부지표4,세부지표4,Sound,S&K5,Innovation,4. 성과 지속성,"장기적 성장을 목표로 혁신적 전략을 지속적으로 실행하고, 조직의 지속 가능한 성과 창출과 경쟁력 유지를 위한 기반을 구축한다."
SoundS&K5세부지표5,세부지표5,Sound,S&K5,Innovation,5. 미래 기술 적용,"미래를 대비한 기술 혁신 트렌드를 조직에 적용하여, 시장 내 선도적 위치를 확보하고 지속적인 기술 발전을 추진한다."
SoundS&K4세부지표1,세부지표1,Sound,S&K4,Providing Solutions,1. 솔루션 제시,"다양한 프로젝트를 리드하면서 조직의 기술적 문제를 분석하고, 프로젝트 결과물에 대한 최적의 솔루션을 제안하여 문제를 해결하는 능력을 발휘한다."
SoundS&K4세부지표2,세부지표2,Sound,S&K4,Providing Solutions,2. 다수 프로젝트 리딩,"조직 내 공동 목표 달성을 위해 여러 프로젝트의 Milestone을 효율적으로 관리하며, 전사적 개발 프로젝트를 완수하여 조직 성과를 극대화한다."
SoundS&K4세부지표3,세부지표3,Sound,S&K4,Providing Solutions,3. 혁신적 솔루션 적용,산업에 대한 깊은 이해를 바탕으로 새로운 제도와 기술을 도입하여 업계를 선도할 수 있는 혁신적인 Brand Identity를 제시하고 문제를 해결한다.
SoundS&K4세부지표4,세부지표4,Sound,S&K4,Providing Solutions,4. Long term 프로젝트 관리,Long Term Project 전반에 걸친 계획을 수립하고 최적의 솔루션을 제안하고 프로젝트가 원활히 진행될 수 있도록 주도적으로 협의한다.
SoundS&K4세부지표5,세부지표5,Sound,S&K4,Providing Solutions,5. 지속적 개선,"사운드 최신 기술(AI, VST)등을 선도하고 이용하여 프로젝트 결과물을 지속적으로 개선한다."
SoundS&K3세부지표1,세부지표1,Sound,S&K3,Build 360 Workflow,1. 프로세스 고도화,"프로덕트 구조에 대한 깊은 이해를 바탕으로 사운드 설계 및 리소스 산출을 효율적으로 관리하며, 프로젝트 방향성을 제시한다."
SoundS&K3세부지표2,세부지표2,Sound,S&K3,Build 360 Workflow,2. 프로젝트 리딩,프로젝트를 주도적으로 리딩하고 매니지먼트하여 구성원들이 지속적으로 작업 일정을 준수할 수 있도록 한다.
SoundS&K3세부지표3,세부지표3,Sound,S&K3,Build 360 Workflow,3. 복합적 문제해결,"타 조직의 다양한 관점을 종합하여, 제작 프로세스를 개선하고, 사운드 품질을 향상시킨다."
SoundS&K3세부지표4,세부지표4,Sound,S&K3,Build 360 Workflow,4. 프로젝트 관리,"Mastering 과정에서 발생하는 문제를 신속하게 파악하고, 구조의 변경 혹은 Volume 및 Effecting을 조정하여 효과적인 해결책을 제시한다."
SoundS&K3세부지표5,세부지표5,Sound,S&K3,Build 360 Workflow,5. 전략적 요구 대응,"개발에 필요한 사운드 구조를 완전하게 이해하고 설계하여, 팀/유관부서와의 효과적인 협업으로 작업물의 품질을 향상시킨다"
SoundS&K2세부지표1,세부지표1,Sound,S&K2,Practical Experience,1. 프로세스 이해,소속 조직과 유관부서 간 협력 프로세스를 이해하고 협력적인 태도로 원활하게 소통한다.
SoundS&K2세부지표2,세부지표2,Sound,S&K2,Practical Experience,2. 업무 독립성,"체계적인 업무 수행 역량을 바탕으로, 프로젝트를 이해하고, 능동적으로 주어진 과제를 완수하여 조직의 기대에 부합하는 결과를 효과적으로 도출한다."
SoundS&K2세부지표3,세부지표3,Sound,S&K2,Practical Experience,3. 문제 해결,"사운드 적용 과정에서 발생하는 문제를 스스로 해결하고, 개발자 관점에서 게임에 사운드를 원활히 적용할 수 있도록 기획하고 제작한다."
SoundS&K2세부지표4,세부지표4,Sound,S&K2,Practical Experience,4. 데이터 관리,"사운드 리소스와 시안 데이터를 정확히 관리하고 활용하여, 프로젝트의 품질과 일관성을 유지한다."
SoundS&K2세부지표5,세부지표5,Sound,S&K2,Practical Experience,5. 분석적 사고,"할당된 작업을 정밀하게 수행할 뿐만 아니라, 과정을 더 깊이 이해하고 분석하여 개선한다."
SoundS&K1세부지표1,세부지표1,Sound,S&K1,Basic Job Knowledge,1. 기본 지식 이해,"개발 프로세스, 사운드 리소스에 대한 기본적인 이해를 바탕으로 업무를 수행한다."
SoundS&K1세부지표2,세부지표2,Sound,S&K1,Basic Job Knowledge,2. 업무 수행,작업에 대한 전반적인 프로세스를 이해하고 기본적인 업무를 수행한다.
SoundS&K1세부지표3,세부지표3,Sound,S&K1,Basic Job Knowledge,3. 문제 보고,"사운드 제작 중 발생하는 문제를 적시에 보고하고, 피드백을 받아 업무의 원활한 진행을 지원한다."
SoundS&K1세부지표4,세부지표4,Sound,S&K1,Basic Job Knowledge,4. 시스템 활용,사운드 작업에 대한 기본지식을 갖추고 회사 사용툴의 기본적인 활용이 가능하다.
SoundS&K1세부지표5,세부지표5,Sound,S&K1,Basic Job Knowledge,5. 피드백 반영,"상사의 피드백을 반영하여 사운드 작업물의 품질을 개선하며, 작업 과정의 완성도를 높이며, 업무 수행 절차를 지속적으로 개선한다."
OperationsS&K6세부지표1,세부지표1,Operations,S&K6,Global Innovator,1. 혁신적 비전 제시,중장기적 기술 혁신 비전을 제시하고 글로벌 차원의 트렌드를 창출하여 Market의 성장을 촉진하고 확장할 수 있는 영향력을 발휘한다.
OperationsS&K6세부지표2,세부지표2,Operations,S&K6,Global Innovator,2. 글로벌 프로젝트 리딩,"전사 전략에 대해 시스템적 조언을 경영진에게 제공하고, 글로벌 관점에서 비즈니스 목표와 연계된 혁신적 전략을 추진하며, 글로벌 혁신 프로젝트를 리딩한다."
OperationsS&K6세부지표3,세부지표3,Operations,S&K6,Global Innovator,3. Global Industry Leader,"조직 내 최신 기술 동향과 기술적 노하우를 파악하여 전체에 전파하고, 기술적 비전과 프로덕트 방향을 제시하여 업계를 선도하고 글로벌 성과를 극대화한다."
OperationsS&K6세부지표4,세부지표4,Operations,S&K6,Global Innovator,4. 글로벌 리더십,"글로벌 Industry의 흐름을 깊이 이해하고, 혁신적 전략을 통해 글로벌 시장에서 기술과 비즈니스를 선도하여 조직의 시장 경쟁력을 강화한다."
OperationsS&K6세부지표5,세부지표5,Operations,S&K6,Global Innovator,5. 글로벌 파트너 협력,"글로벌 파트너와의 협력을 통해 기술 혁신을 주도하고, 조직의 글로벌 성장을 가속화한다."
OperationsS&K5세부지표1,세부지표1,Operations,S&K5,Innovation,1. 혁신적 설계,조직 내 변화를 이끌며 혁신적인 접근 방식을 통해 새로운 비즈니스 모델 또는 프로세스를 도입하여 성과를 향상시킨다.
OperationsS&K5세부지표2,세부지표2,Operations,S&K5,Innovation,2. 시장 변화 대응,"최신 기술 트렌드와 산업 변화를 반영하여 새로운 전략을 수립하고, 이를 통해 시장 변화에 맞춘 차별화된 고객 경험을 제공하여 조직의 경쟁력을 강화한다."
OperationsS&K5세부지표3,세부지표3,Operations,S&K5,Innovation,3. 기술 및 비즈니스 융합,"도메인 지식과 깊은 이해를 바탕으로 업계 내 선도적 역할을 수행하며, 기술과 비즈니스를 융합하여 새로운 시장 기회를 발굴하고 조직 성과를 창출한다."
OperationsS&K5세부지표4,세부지표4,Operations,S&K5,Innovation,4. 성과 지속성,"장기적 성장을 목표로 혁신적 전략을 지속적으로 실행하고, 조직의 지속 가능한 성과 창출과 경쟁력 유지를 위한 기반을 구축한다."
OperationsS&K5세부지표5,세부지표5,Operations,S&K5,Innovation,5. 미래 기술 적용,"미래를 대비한 기술 솔루션을 도입하여 조직의 비즈니스 모델과 프로세스를 개선하고, 지속적인 혁신을 주도한다."
OperationsS&K4세부지표1,세부지표1,Operations,S&K4,Providing Solutions,1. 솔루션 제시,비즈니스의 핵심 영역을 현저하게 개선하기 위한 프로젝트를 구성하여 조직의 이슈와 기술적 문제를 분석하여 해결책을 제시한다.
OperationsS&K4세부지표2,세부지표2,Operations,S&K4,Providing Solutions,2. 다수 프로젝트 리딩,"조직 내 공동 목표 달성을 위해 여러 프로젝트의 Milestone을 효율적으로 관리하며, 전사적인 프로젝트를 리딩/ 완수하여 조직 성과를 극대화한다."
OperationsS&K4세부지표3,세부지표3,Operations,S&K4,Providing Solutions,3. 혁신적 솔루션 적용,"Industry에 대한 심층적인 이해를 바탕으로 새로운 제도와 기술을 도입하여 전사적 차원의 성과를 창출하고, 조직의 문제를 혁신적으로 해결한다."
OperationsS&K4세부지표4,세부지표4,Operations,S&K4,Providing Solutions,4. Long term 프로젝트 관리,Long Term Project 전반에 걸친 계획을 수립하고 최적의 솔루션을 제안하고 프로젝트가 원활히 진행될 수 있도록 주도적으로 협의한다.
OperationsS&K4세부지표5,세부지표5,Operations,S&K4,Providing Solutions,5. 지속적 개선,"비즈니스의 핵심 영역을 지속적으로 개선하고, 최적의 솔루션을 제공하여 조직의 성과를 지속적으로 개선한다."
OperationsS&K3세부지표1,세부지표1,Operations,S&K3,Build 360 Workflow,1. 프로세스 고도화,"타 조직의 관점을 다양한 폭넓게 통합하여 기존 프로세스를 지속적으로 개선하고, 업무 수행의 품질을 향상시킨다."
OperationsS&K3세부지표2,세부지표2,Operations,S&K3,Build 360 Workflow,2. 프로젝트 리딩,"프로젝트 흐름을 파악하고, 핵심 마일스톤 도달을 위한 방향성을 제시한다."
OperationsS&K3세부지표3,세부지표3,Operations,S&K3,Build 360 Workflow,3. 복합적 문제해결,"이슈 발생 시 다각도로 분석하고, 관련 Stakeholder들과 신속히 논의하여 문제를 해결한다."
OperationsS&K3세부지표4,세부지표4,Operations,S&K3,Build 360 Workflow,4. 프로젝트 관리,"Data 기반을 바탕으로 한 다양한 지식의 분석 및 복합적인 문제 정의를 통해, 프로젝트를 기획하고 성과를 창출한다."
OperationsS&K3세부지표5,세부지표5,Operations,S&K3,Build 360 Workflow,5. 전략적 요구 대응,"팀/유관부서와의 협력을 통해 여러 팀의 지식을 종합해 협력하고, 복합적인 문제를 해결하며 목표 달성에 기여한다."
OperationsS&K2세부지표1,세부지표1,Operations,S&K2,Practical Experience,1. 프로세스 이해,"실무 중심의 프로세스를 이해하고 처리하여, 조직 내 다양한 업무와 변수에 적절히 대처한다."
OperationsS&K2세부지표2,세부지표2,Operations,S&K2,Practical Experience,2. 업무 독립성,"체계적인 업무 수행 역량을 바탕으로, 프로젝트를 이해하고, 능동적으로 주어진 과제를 완수하여 조직의 기대에 부합하는 결과를 효과적으로 도출한다."
OperationsS&K2세부지표3,세부지표3,Operations,S&K2,Practical Experience,3. 문제 해결,"서비스 장애 발생 시 라이브 상황을 모니터링하고, 이슈가 발생하면 스스로 문제를 파악하여 해결한다."
OperationsS&K2세부지표4,세부지표4,Operations,S&K2,Practical Experience,4. 데이터 관리,"모니터링 및 이슈 관리 과정에서 시스템 데이터를 정확하게 관리하고 활용하여, 서비스 운영의 안정성을 확보한다."
OperationsS&K2세부지표5,세부지표5,Operations,S&K2,Practical Experience,5. 분석적 사고,"할당된 작업을 정밀하게 수행할 뿐만 아니라, 과정을 더 깊이 이해하고 분석하여 개선한다."
OperationsS&K1세부지표1,세부지표1,Operations,S&K1,Basic Job Knowledge,1. 기본 지식 이해,GGPoker가 속해있는 산업군과 i-Gaming에 대한 이해를 바탕으로 업무를 수행한다.
